NAME,PINYIN,HEX,R,G,B,CN
暗玉紫,ANYUZI,#5C2223,92,34,35,1
牡丹粉红,MUDANFENHONG,#EEA2A4,238,162,164,1
栗紫,LIZI,#5A191B,90,25,27,1
香叶红,XIANGYEHONG,#F07C82,240,124,130,1
葡萄酱紫,PUTAOJIANGZI,#5A1216,90,18,22,1
艳红,YANHONG,#ED5A65,237,90,101,1
玉红,YUHONG,#C04851,192,72,81,1
茶花红,CHAHUAHONG,#EE3F4D,238,63,77,1
高粱红,GAOLIANGHONG,#C02C38,192,44,56,1
满江红,MANJIANGHONG,#A7535A,167,83,90,1
鼠鼻红,SHUBIHONG,#E3B4B8,227,180,184,1
合欢红,HEHUANHONG,#F0A1A8,240,161,168,1
春梅红,CHUNMEIHONG,#F1939C,241,147,156,1
苋菜红,XIANCAIHONG,#A61B29,166,27,41,1
烟红,YANHONG,#894E54,137,78,84,1
莓红,MEIHONG,#C45A65,196,90,101,1
鹅冠红,EGUANHONG,#D11A2D,209,26,45,1
枫叶红,FENGYEHONG,#C21F30,194,31,48,1
唐菖蒲红,TANGCHANGPUHONG,#DE1C31,222,28,49,1
枣红,ZAOHONG,#7C1823,124,24,35,1
猪肝紫,ZHUGANZI,#541E24,84,30,36,1
葡萄紫,PUTAOZI,#4C1F24,76,31,36,1
暗紫苑红,ANZIYUANHONG,#82202B,130,32,43,1
殷红,YANHONG,#82111F,130,17,31,1
草茉莉红,CAOMOLIHONG,#EF475D,239,71,93,1
酱紫,JIANGZI,#4D1018,77,16,24,1
山茶红,SHANCHAHONG,#ED556A,237,85,106,1
锌灰,XINHUI,#7A7374,122,115,116,1
海棠红,HAITANGHONG,#F03752,240,55,82,1
蓟粉红,JIFENHONG,#E6D2D5,230,210,213,1
石蕊红,SHIRUIHONG,#F0C9CF,240,201,207,1
淡曙红,DANSHUHONG,#EE2746,238,39,70,1
李紫,LIZI,#2B1216,43,18,22,1
石竹红,SHIZHUHONG,#EE4863,238,72,99,1
淡茜红,DANQIANHONG,#E77C8E,231,124,142,1
金鱼紫,JINYUZI,#500A16,80,10,22,1
山黎豆红,SHANLIDOUHONG,#C27C88,194,124,136,1
鼠背灰,SHUBEIHUI,#73575C,115,87,92,1
淡蕊香红,DANRUIXIANGHONG,#EE4866,238,72,102,1
甘蔗紫,GANZHEZI,#621624,98,22,36,1
月季红,YUEJIHONG,#CE5777,206,87,109,1
尖晶玉红,JIANJINGYUHONG,#CC163A,204,22,58,1
水红,SHUIHONG,#F1C4CD,241,196,205,1
姜红,JIANGHONG,#EEB8C3,238,184,195,1
芦灰,LUHUI,#856D72,133,109,114,1
茄皮紫,JIAPIZI,#2D0C13,45,12,19,1
吊钟花红,DIAOZHONGHUAHONG,#2D0C13,45,12,19,1
苍蝇灰,CANGYINGHUI,#36282B,54,40,43,1
锦葵红,JINKUIHONG,#BF3553,191,53,83,1
粉团花红,FENTUANHUAHONG,#EC9BAD,236,155,173,1
石竹紫,SHIZHUZI,#63071C,99,7,28,1
卵石紫,LUANSHIZI,#30161C,48,22,28,1
晶红,JINGHONG,#EEA6B7,238,166,183,1
芍药耕红,SHAOYAOGENGHONG,#EBA0B3,235,160,179,1
暮云灰,MUYUNHUI,#4F383E,79,56,62,1
豇豆红,JIANGDOUHONG,#ED9DB2,237,157,178,1
报春红,BAOCHUNHONG,#EC8AA4,236,138,164,1
淡绛红,DANJIANGHONG,#EC7696,236,118,150,1
凤仙花红,FENGXIANHUAHONG,#EA7293,234,114,147,1
霞光红,XIAGUANGHONG,#EF82A0,239,130,160,1
喜蛋红,XIDANHONG,#EC2C64,236,44,100,1
夹竹桃红,JIAZHUTAOHONG,#EB507E,235,80,126,1
松叶牡丹红,SONGYEMUDANHONG,#EB3C70,235,60,112,1
莲瓣红,LIANBANHONG,#EA517F,234,81,127,1
白芨红,BAIJIHONG,#DE7897,222,120,151,1
隐红灰,YINHONGHUI,#B598A1,181,152,161,1
榲桲舡,WENPOCHUAN,#ED2F6A,237,47,106,1
酢酱草红,CUJIANGCAOHONG,#C5708B,197,112,139,1
火鹅紫,HUOEZI,#33141E,51,20,30,1
鹞冠紫,YAOGUANZI,#621D34,98,29,52,1
品红,PINHONG,#EF3473,239,52,115,1
磨石紫,MOSHIZI,#382129,56,33,41,1
墨紫,MOZI,#310F1B,49,15,27,1
檀紫,TANZI,#381924,56,25,36,1
初荷红,CHUHEHONG,#E16C96,225,108,150,1
菜头紫,CAITOUZI,#951C48,149,28,72,1
葡萄酒红,PUTAOJIUHONG,#62102E,98,16,46,1
淡青紫,DANQINGZI,#E0C8D1,224,200,209,1
菠根红,BOGENHONG,#D13C74,209,60,116,1
海象紫,HAIXIANGZI,#4B1E2F,75,30,47,1
兔眼红,TUYANHONG,#EC4E8A,236,78,138,1
嫩菱红,NENLINGHONG,#DE3F7C,222,63,124,1
洋葱紫,YANGCONGZI,#A8456B,168,69,107,1
绀紫,GANZI,#461629,70,22,41,1
紫荆红,ZIJINGHONG,#EE2C79,238,44,121,1
扁豆花红,BIANDOUHUAHONG,#EF498B,239,73,139,1
马鞭草紫,MABIANCAOZI,#EDE3E7,237,227,231,1
藏花红,CANGHUAHONG,#EC2D7A,236,45,122,1
斑鸠灰,BANJIUHUI,#482936,72,41,54,1
古铜紫,GUTONGZI,#440E25,68,14,37,1
丹紫红,DANZIHONG,#D2568C,210,86,140,1
丁香淡紫,DINGXIANGDANZI,#E9D7DF,233,215,223,1
玫瑰红,MEIGUIHONG,#D2357D,210,53,125,1
古鼎灰,GUDINGHUI,#36292F,54,41,47,1
菱锰红,LINGMENGHONG,#D276A3,210,118,163,1
樱草紫,YINGCAOZI,#C06F98,192,111,152,1
龙须红,LONGXUHONG,#CC5595,204,85,149,1
电气石红,DIANQISHIHONG,#C35691,195,86,145,1
玫瑰紫,MEIGUIZI,#BA2F7B,186,47,123,1
苋菜紫,XIANCAIZI,#9B1E64,155,30,100,1
紫灰,ZIHUI,#5D3F51,93,63,81,1
龙睛鱼紫,LONGJINGYUZI,#4E2A40,78,42,64,1
青蛤壳紫,QINGHAKEZI,#BC84A8,188,132,168,1
萝兰紫,LUOLANZI,#C08EAF,192,142,175,1
荸荠紫,BIQIZI,#411C35,65,28,53,1
豆蔻紫,DOUKOUZI,#AD6598,173,101,152,1
扁豆紫,BIANDOUZI,#A35C8F,163,92,143,1
牵牛紫,QIANNIUZI,#681752,104,23,82,1
芓紫,ZIZI,#894276,137,66,118,1
葛巾紫,GEJINZI,#7E2065,126,32,101,1
青莲,QINGLIAN,#8B2671,139,38,113,1
芥花紫,JIEHUAZI,#983680,152,54,128,1
凤信紫,FENGXINZI,#C8ADC4,200,173,196,1
深牵牛紫,SHENQIANNIUZI,#1C0D1A,28,13,26,1
魏紫,WEIZI,#7E1671,126,22,113,1
芝兰紫,ZHILANZI,#7E1671,126,22,113,1
鸟梅紫,NIAOMEIZI,#1E131D,30,19,29,1
桔梗紫,JIEGENGZI,#813C85,129,60,133,1
淡牵牛紫,DANQIANNIUZI,#D1C2D3,209,194,211,1
剑锋紫,JIANFENGZI,#3E3841,62,56,65,1
蕈紫,XUNZI,#815C94,129,92,148,1
槿紫,JINZI,#806D9E,128,109,158,1
芡食白,QIANSHIBAI,#E2E1E4,226,225,228,1
龙葵紫,LONGKUIZI,#322F3B,50,47,59,1
藤萝紫,TENGLUOZI,#8076A3,128,118,163,1
沙鱼灰,SHAYUHUI,#35333C,53,51,60,1
暗龙胆紫,ANLONGDANZI,#22202E,34,32,46,1
暗蓝紫,ANLANZI,#131124,19,17,36,1
野葡萄紫,YEPUTAOZI,#302F4B,48,47,75,1
野菊紫,YEJUZI,#525288,82,82,136,1
水牛灰,SHUINIUHUI,#2F2F35,47,47,53,1
远山紫,YUANSHANZI,#CCCCD6,204,204,214,1
螺甸紫,LUODIANZI,#74759B,116,117,155,1
晶石紫,JINGSHIZI,#1F2040,31,32,64,1
满天星紫,MANTIANXINGZI,#2E317C,46,49,124,1
淡蓝紫,DANLANZI,#A7A8BD,167,168,189,1
山梗紫,SHANGENGZI,#61649F,97,100,159,1
牛角灰,NIUJIAOHUI,#2D2E36,45,46,54,1
鱼尾灰,YUWEIHUI,#5E616D,94,97,109,1
瓦罐灰,WAGUANHUI,#47484C,71,72,76,1
钢蓝,GANGLAN,#0F1423,15,20,35,1
燕颔蓝,YANHANLAN,#131824,19,24,36,1
鲸鱼灰,JINGYUHUI,#475164,71,81,100,1
青灰,QINGHUI,#2B333E,43,51,62,1
鸽蓝,GELAN,#1C2938,28,41,56,1
